"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20"
2.58032570342479e-37,8.20970693606565e-38,-2.112710325506e-37,-5.21236421243118e-38,1.19085150382564e-37,-7.14465042933568e-38,-8.66386416299763e-38,6.04612657752428e-39,1.17244634681136e-37,-2.83517327789645e-38,-8.5222628245177e-38,-6.19555509150926e-39,3.62958178824876e-38,-3.1106493131941e-39,-5.88991625654141e-39,4.46619297987529e-38,-2.47318651251653e-38,-4.84570227731224e-39,-1.36469902423548e-38,-3.5766433048119e-38
0.000868203786161256,0.000275699999098594,-0.000710927308332681,-0.000174876146915018,0.00040104474887784,-0.000240645266144183,-0.000291628671389551,2.03853277423442e-05,0.000394730582779636,-9.51968140203455e-05,-0.000286721926566346,-2.07817091473871e-05,0.000122509068620583,-1.04045551618809e-05,-1.9878458959242e-05,0.000150068294881639,-8.34159013189309e-05,-1.6056440547737e-05,-4.57530029677546e-05,-0.000120128857577078
0.000952688045442904,0.000302471300264398,-0.000780113779883602,-0.000191839347163969,0.000440108377061678,-0.000264088800602347,-0.000320019230411824,2.2373484108717e-05,0.00043316679859139,-0.00010443917557117,-0.000314619772191097,-2.27970894399806e-05,0.000134471370254137,-1.14104669823059e-05,-2.1819270850287e-05,0.000164649346237286,-9.15544015667681e-05,-1.7592406210271e-05,-5.01875662240744e-05,-0.000131795598174668
0.00104537582853678,0.000331830529490678,-0.000856019697029652,-0.000210438683388889,0.000482972866179014,-0.00028981407723851,-0.000351168977457421,2.45555779629946e-05,0.000475340318158413,-0.000114574647833138,-0.000345225912248914,-2.50067316139349e-05,0.00014760358847259,-1.25126913378942e-05,-2.39498645429017e-05,0.000180641726286131,-0.000100487502640997,-1.92721506190889e-05,-5.50491152230295e-05,-0.000144590519478793
0.00114706015539485,0.000364025489797197,-0.000939294899368425,-0.000230830091605916,0.000530007275850506,-0.000318042799323607,-0.00038534523492118,2.69505598153485e-05,0.00052161350199015,-0.000125688698530323,-0.000378802068980226,-2.74291508760523e-05,0.000162020530488094,-1.37202957518693e-05,-2.62888441921062e-05,0.000198180967626791,-0.000110292904961679,-2.11084497994756e-05,-6.0378204137212e-05,-0.000158621731021726
0.00125860995326101,0.00039932722274384,-0.00103065148047162,-0.000253183959427024,0.000581616262685988,-0.000349018073780905,-0.000422840935028298,2.95792113529445e-05,0.000572383569815834,-0.000137874783435038,-0.000415634957987786,-3.00845511422766e-05,0.000177848334081803,-1.50431336897058e-05,-2.88566589528467e-05,0.000217415370197324,-0.000121055921163248,-2.31151044022321e-05,-6.62191047861728e-05,-0.000174007494199414
0.00138097719872073,0.000438032094524339,-0.00113086966195183,-0.000277686408710778,0.000638243546921171,-0.000383006508314552,-0.000463977133980589,3.2464344827815e-05,0.000628085960999901,-0.000151235074429234,-0.000456038669666531,-3.29949962155693e-05,0.000195225611662048,-1.64919349915346e-05,-3.16757779616231e-05,0.000238507182658718,-0.000132870233053802,-2.53069655107201e-05,-7.26201393312633e-05,-0.000190877140169254
0.00151520467721925,0.000480464043210637,-0.00124080417289371,-0.000304540652767872,0.000700375641275837,-0.000420300460712982,-0.000509105665654413,3.56310016721539e-05,0.000689197957158298,-0.000165881229657595,-0.000500357221181696,-3.61845688853795e-05,0.000214304701515432,-1.80783746325228e-05,-3.47708924101686e-05,0.000261633859426176,-0.000145838717212075,-2.7699978019287e-05,-7.96340215128044e-05,-0.00020937205646365
0.0016624344312846,0.000526977000808776,-0.00136139119842686,-0.000333968450601521,0.000768545927035039,-0.000461220498644287,-0.000558612036255586,3.91066705279029e-05,0.000756242636856014,-0.000181935222882696,-0.000548967333807343,-3.96795410720773e-05,0.000235253047868069,-1.98151449521604e-05,-3.8169138296494e-05,0.000286989419655984,-0.000160074352767513,-3.03112165847098e-05,-8.73182204229771e-05,-0.000229646751327526
0.00182391695111725,0.000577957498455206,-0.00149365594242028,-0.000366211660704754,0.000843339107861961,-0.00050611808859448,-0.000612918579882347,4.2921526568444e-05,0.000829793190476515,-0.000199530234693067,-0.000602281452952886,-4.35085552053783e-05,0.000258254723601768,-2.17160310846139e-05,-4.19003420459747e-05,0.000314785914058053,-0.000175701219634441,-3.31589111743222e-05,-9.57353468928646e-05,-0.000251869999733684
0.00200102116380457,0.000633827462220028,-0.00163872085160743,-0.000401533895851243,0.000925396074140804,-0.000555378534014051,-0.000672487896197679,4.7108694162505e-05,0.000910477625226605,-0.00021881160787519,-0.000660751028992303,-4.77028168707907e-05,0.000283512111049046,-2.37959891895017e-05,-4.59972914380569e-05,0.000345255005189289,-0.000192855596303507,-3.6262458524853e-05,-0.000104953562170603,-0.000276226074722479
