"x1","x2"
0,0
0,-0.0393735425595049
0,-0.0753179780621063
0,-0.108137370382141
0.00308516771374866,-0.138367631662278
0.036979175308833,-0.168636342895834
0.0679872623262835,-0.19630564751996
0.0963525130760368,-0.221597398244544
0.122296814343655,-0.244713501064425
0.14602302810115,-0.265838181487584
0.167716953801585,-0.285139922370957
0.187548962396498,-0.302773039142848
0.205675389778496,-0.318878996569895
0.222239749005796,-0.333587537787367
0.237373802124474,-0.347017673477213
0.251198520052201,-0.359278563555492
0.263824950689623,-0.370470313295461
0.275355009810122,-0.380684698875066
0.285882205452,-0.390005832773054
0.295492303910695,-0.398510776461045
0.304263943611756,-0.406270105909964
0.312269201877099,-0.413348434183078
0.319574118702264,-0.419804894580877
0.326239181022736,-0.425693587274759
0.332319770482628,-0.431063992012897
0.337866577373535,-0.435961349235128
0.34292598314961,-0.440427011753566
0.347540413717957,-0.444498769012873
0.351748665536734,-0.448211145825266
0.355586206412649,-0.451595677368948
0.359085452767479,-0.454681162139963
0.362276025033923,-0.457493894453356
0.365184982741034,-0.46005787799839
0.367836798366883,-0.462394808088301
0.37025454013839,-0.464525118662371
0.372458556642223,-0.466466828194763
0.37446765782144,-0.468236582141561
0.376299011842747,-0.469849565540827
0.377968286236568,-0.471319629762476
0.379489777052844,-0.472659408313023
0.380876527430166,-0.473880422986541
