"x1","x2"
0,0
0.048270568205447,0
0.0922536330326411,0
0.132348644336928,0
0.168913029407627,0
0.20226516894265,0
0.232692243060691,0
0.260553095386889,-0.00125692596544431
0.287977682279655,-0.0278255985537653
0.312962704012959,-0.0518717660056372
0.335728670728254,-0.0736548336941102
0.356475593690433,-0.0934037948792989
0.375384772985103,-0.111321272846885
0.392620642951851,-0.127587106318181
0.408332445747724,-0.142361383598116
0.422655734549259,-0.155787008281966
0.435713716808138,-0.16799187138161
0.447618452030509,-0.179090695085481
0.458471919695311,-0.189186603563774
0.468366972471959,-0.198372467122276
0.477388188660013,-0.206732057976664
0.485612636232079,-0.214341049065012
0.493110559287873,-0.221267881595506
0.499945996250905,-0.227574522315695
0.5061773378263,-0.233317127652853
0.511857831599733,-0.238546628766484
0.517030824052294,-0.24330557337985
0.521751172215446,-0.247643377010715
0.526053951872891,-0.25159443382949
0.529975996993208,-0.255193399096407
0.53355090762166,-0.258471786309431
0.536809329009841,-0.261458257823045
0.539779210777908,-0.264178889650244
0.542486043220201,-0.266657410144417
0.544953072841154,-0.268915415467707
0.547201498998718,-0.270972564363971
0.54925065334519,-0.272846754427183
0.551118163591311,-0.274554281781376
0.552820102974854,-0.276109985856017
0.554349597473396,-0.277511942989705
0.555764422399924,-0.278804300624601
0.557054094212717,-0.279982026044133
