"lambda","cvm","cvsd","cvup","cvlo","nzero"
0.322345518435632,4.23220339651555,0.101480831759803,4.33368422827535,4.13072256475575,0
0.293709231024735,4.16768691712686,0.103276591913827,4.27096350904068,4.06441032521303,1
0.267616912460246,4.09501255601328,0.106941192585598,4.20195374859888,3.98807136342768,2
0.243842563561523,4.0025788043486,0.111776974676983,4.11435577902558,3.89080182967161,2
0.222180262292234,3.9144738891643,0.114698165748809,4.02917205491311,3.79977572341549,2
0.202442380162195,3.84016109847029,0.117812699397607,3.9579737978679,3.72234839907269,2
0.184457957079147,3.77793938998151,0.120928972547862,3.89886836252938,3.65701041743365,2
0.168071220574231,3.72584402037443,0.123879344524638,3.84972336489907,3.60196467584979,2
0.153140236575379,3.6821573524281,0.126566290481071,3.80872364290917,3.55559106194703,2
0.139535680042291,3.63789805637581,0.130029147414103,3.76792720378991,3.50786890896171,4
0.127139714814799,3.58390311205614,0.133389768853741,3.71729288090988,3.4505133432024,4
0.115844972972426,3.5309549835038,0.133623741597536,3.66457872510134,3.39733124190626,4
0.105553624864826,3.48702937463125,0.133804961376205,3.62083433600745,3.35322441325504,4
0.0961765317581485,3.45045724690161,0.13393314519516,3.58439039209677,3.31652410170645,4
0.0876324737579764,3.4161451004517,0.134402367646164,3.55054746809786,3.28174273280553,5
0.0798474463214544,3.38181246787376,0.136336456649116,3.51814892452288,3.24547601122465,6
0.0727540192653437,3.35006606764802,0.138457657228543,3.48852372487656,3.21160841041947,7
0.0662907527180337,3.31830766290739,0.139458593436564,3.45776625634396,3.17884906947083,8
0.0604016649567674,3.28940222234909,0.139733533982585,3.42913575633167,3.1496686883665,8
0.0550357475207411,3.26491027286387,0.139654340820774,3.40456461368464,3.12525593204309,8
0.0501465234002196,3.2444501892841,0.139117887206822,3.38356807649092,3.10533230207728,8
0.0456916444749129,3.22651750280091,0.138381597396171,3.36489910019708,3.08813590540474,8
0.0416325247148179,3.21228308319313,0.137520724822275,3.3498038080154,3.07476235837085,9
0.0379340059664865,3.20111911618365,0.136479683430439,3.33759879961409,3.06463943275322,9
0.03456405342992,3.19131822571354,0.135096433672821,3.32641465938636,3.05622179204072,9
0.0314934781884577,3.18293270777873,0.133723558076588,3.31665626585532,3.04920914970214,10
0.0286956843883445,3.17670750832426,0.132394415232207,3.30910192355647,3.04431309309205,10
0.0261464388781696,3.173047312394,0.131156616089894,3.30420392848389,3.0418906963041,10
0.0238236613129024,3.17105150184611,0.130104502057966,3.30115600390408,3.04094699978815,10
0.0217072329045069,3.17071290978528,0.129288254077799,3.30000116386308,3.04142465570748,11
0.0197788221626251,3.17152183207437,0.128729677075216,3.30025150914958,3.04279215499915,13
0.0180217261159771,3.17305560318443,0.128254958661128,3.30131056184556,3.0448006445233,14
0.0164207256392149,3.17486186762821,0.12782751140254,3.30268937903075,3.04703435622567,15
0.0149619536321397,3.17671261800755,0.127365936639454,3.30407855464701,3.0493466813681,18
0.0136327749095138,3.17845496289293,0.126854528702556,3.30530949159549,3.05160043419038,18
0.0124216767611309,3.18013026633944,0.126372807793057,3.30650307413249,3.05375745854638,18
0.0113181692342284,3.18177458953801,0.125897477934226,3.30767206747224,3.05587711160378,18
0.0103126942745347,3.18342215256048,0.125428884837402,3.30885103739788,3.05799326772308,19
0.00939654293897559,3.18464451920745,0.12511403760647,3.30975855681392,3.05953048160098,20
0.00856177996297637,3.18564493866924,0.1249246606949,3.31056959936414,3.06072027797434,20
0.00780117502899585,3.18660596937486,0.124758295436997,3.31136426481185,3.06184767393786,20
0.00710814014097507,3.1876264653595,0.12461817690688,3.31224464226637,3.06300828845262,20
0.00647667256226715,3.18863261202195,0.124482615916897,3.31311522793885,3.06414999610505,20
0.00590130282280422,3.18965144286843,0.124355195093,3.31400663796143,3.06529624777543,20
0.0053770473451643,3.19068353511351,0.124248867427667,3.31493240254118,3.06643466768584,20
0.00489936527920788,3.19171044266269,0.124160964793556,3.31587140745625,3.06754947786914,20
0.00446411917140638,3.19267435981211,0.124104036362715,3.31677839617482,3.06857032344939,20
0.00406753912819906,3.19355103614973,0.124070318932224,3.31762135508195,3.0694807172175,20
0.00370619016297857,3.19436904961708,0.124050013401159,3.31841906301824,3.07031903621592,20
0.00337694244388026,3.19515280204487,0.124036438816164,3.31918924086104,3.07111636322871,20
0.00307694418467592,3.195922048582,0.124007997242064,3.31993004582406,3.07191405133993,20
0.00280359694396575,3.19661566945919,0.123966337428943,3.32058200688813,3.07264933203025,20
0.00255453311872213,3.19653980941879,0.123940837128923,3.32048064654771,3.07259897228987,20
