"x1","x2"
0,0
0.00936615054977553,0.0344686520204976
0.043524065041582,0.0683793666206913
0.0745993270320256,0.0993393695795378
0.102859675221528,0.127603771088067
0.128553053964113,0.153403811436067
0.151908604283864,0.176950594712809
0.173137016975705,0.198437203397741
0.192431362223046,0.218040510698155
0.209968081659143,0.235922653354546
0.225908075065141,0.252232278701411
0.240397827052233,0.267105637150555
0.253570532663688,0.280667563834318
0.265547192818775,0.293032375820062
0.276437660272514,0.30430470063991
0.286341624295262,0.314580245519498
0.295349527861912,0.323946513047885
0.303543415138087,0.332483467054799
0.310997709807192,0.340264151469277
0.317779926600426,0.34735526449517
0.323951319519303,0.353817690290317
0.329567470871886,0.359706990321911
0.334678825528388,0.3650738566026
0.339331174850068,0.369964529044689
0.343566094638605,0.374421179181688
0.347421341249743,0.378482262490602
0.350931209756107,0.382182841504923
0.35412685775803,0.385554881841088
0.357036598147326,0.388627523175529
0.359686163839526,0.391427327110493
0.36209894721309,0.393978503759395
0.364296216734043,0.396303118770556
0.366297313003536,0.398421282394966
0.368119826244893,0.400351322091677
0.369779757045521,0.402109940055389
0.371291661986833,0.403712356945962
0.372668785630897,0.405172442999889
0.373923180184573,0.406502837609656
0.375065814029015,0.407715058368644
