"x1","x2"
0,0
0.0418892588260752,0
0.08017293001612,0
0.115163036868828,0
0.147143029527611,0
0.176370497514238,0
0.203080151180968,0
0.22748626708848,0
0.249784737954313,0
0.270154823192372,0
0.288760667447695,0
0.305752635428799,0
0.321268498228082,0
0.335434497150257,0
0.348648761680185,0.00840544847758246
0.360799942826935,0.0186031887244737
0.371893216014566,0.0278946939041079
0.382018791850107,0.0363606028059162
0.391259540519064,0.044074344846516
0.399691510440751,0.0511027918707335
0.40738444071411,0.0575068533386867
0.414402243760686,0.0633420141397896
0.420803458415361,0.0686588217081292
0.42663620904462,0.0735011455865969
0.431960588784402,0.0779153465426965
0.436815888525189,0.0819374481659167
0.441243103927695,0.085602278305894
0.445279708868916,0.0889415720769769
0.448959943811216,0.0919842452237647
0.452315086465059,0.0947566448079595
0.455373701314866,0.0972827775311312
0.458161869366453,0.0995845177120237
0.460703399450468,0.101681796748068
0.463020022373519,0.103592775720774
0.4651315691561,0.105334002652282
0.467056134537146,0.106920555783111
0.468810226861854,0.108366174117243
0.470386772400781,0.109673955320871
0.47184519565419,0.110874741480552
0.473174672025552,0.111969000344152
0.474386316608497,0.112966071419947
0.475490547644989,0.113874583596269
