"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0295402777152817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0585024244554963,0,-0.00159449448769391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0866978474945248,0,-0.0278330339948324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.114207109891101,0,-0.0534091126484029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.140961688801688,0,-0.0782553421645192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.166901426566963,0,-0.102313451230989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.191974822414726,0,-0.125534453935008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.216139090906212,0,-0.147878580162565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.239360089907899,0,-0.169315056630144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.26284653584351,0,-0.190752502288454,0,0.0192367754394145,0,0,0,0.0171619131748996,0,0,0,0,0,0,0,0,0,0,0
0.285474488251536,0,-0.211305114259063,0,0.040448226028706,0,0,0,0.0360397219560793,0,0,0,0,0,0,0,0,0,0,0
0.307031683594482,0,-0.230827166887181,0,0.0605832572267536,0,0,0,0.0538041798379179,0,0,0,0,0,0,0,0,0,0,0
0.327515742892811,0,-0.249330132718825,0,0.0796518714103489,0,0,0,0.0704734754347682,0,0,0,0,0,0,0,0,0,0,0
0.347077937514928,0,-0.266783062731458,0,0.0981336515199114,0,-0.0100411440081193,0,0.0864787229603873,0,0,0,0,0,0,0,0,0,0,0
0.365813649997881,0,-0.283141281710209,0,0.116128629936719,0,-0.0264040640092516,0,0.10184469224373,0,-0.00796072124899144,0,0,0,0,0,0,0,0,0
0.383663457954263,0,-0.298512469984856,0,0.133326058453139,0,-0.0422476131175712,0,0.116328973188135,0,-0.022134211243409,0,0,0,0,0,0,0,0,0
0.400734422839271,0,-0.314254787556136,0,0.150918522914663,-0.00729242488408486,-0.0588003628237937,0,0.129234246460709,0,-0.0359756831300077,0,0.0143342626067864,0,0,0,0,0,0,0
