"x1","x2","x3"
0,0,0
0.0467710455068779,0,0
0.0892678093412253,0,0
0.127905143139595,0,0
0.165757853848608,-0.0209089784283343,0
0.202995672587898,-0.0527720969751102,0.0123455825156914
0.238289728506662,-0.0822854349029015,0.040787725256099
0.270272548528742,-0.109401629052173,0.066864820188506
0.299301963198041,-0.134316381725666,0.0907803830505707
0.325684512683196,-0.157205650208127,0.112715592356215
0.349685629424649,-0.178229196749107,0.132833432001658
0.371537326697221,-0.197533132789942,0.151281705907645
0.391444051735662,-0.215251772564916,0.168195257520665
0.409587200817927,-0.231509017707542,0.183697640248912
0.426128648370412,-0.246419421768558,0.197902405953683
0.441213542234673,-0.260089035120306,0.210914125708814
0.454972547480153,-0.272616098164507,0.222829221194188
0.467523671839357,-0.284091628733862,0.233736660620139
0.478974084680536,-0.2946001159333,0.243718743145581
0.489420156441448,-0.304219280156235,0.252850902575675
0.498950286645239,-0.313021497394765,0.261203217919594
0.507644677364314,-0.321073542644467,0.268840172657361
0.515576393501536,-0.328437106020699,0.275821206821638
0.522812049275534,-0.335169133058048,0.28220107957946
0.529412412740451,-0.341322146060129,0.288030206718694
0.535432942098384,-0.346944548074337,0.293354975847332
0.540924264527938,-0.352080910512023,0.29821804132737
0.545932605974011,-0.356772245106619,0.30265860045059
0.550500178624554,-0.361056260722376,0.306712652032843
0.554665531496441,-0.36496760544177,0.310413238396119
0.558463868557709,-0.368538094333485,0.313790671581066
0.561927338051806,-0.37179692331228,0.31687274455963
0.565085296095796,-0.374770869525985,0.319684928173434
0.567964547165785,-0.377484478739414,0.322250554502137
0.57058956371677,-0.379960240216465,0.324590987351218
0.572982686893366,-0.382218749630725,0.326725780539551
0.575164310051931,-0.38427886055727,0.328672824658094
0.577153046620839,-0.386157825113851,0.330448482960652
0.578965545170915,-0.387871188688479,0.332067481730517
0.58061800456139,-0.389433866961461,0.333543981383629
0.582124209100142,-0.390858802094614,0.334890230193401
0.5834970626914,-0.392158049769158,0.336117645771427
