"x1","x2","x3"
0,0,0
0,0,0.0357513704384269
0,0,0.0683338495025066
0.0045219279046811,0,0.0985412234776065
0.0357649416880523,0,0.129159610690839
0.0644227852676713,0,0.157149397250773
0.0906992106788831,0,0.182738987508096
0.114784409636658,0,0.20613680474818
0.136852354918641,0,0.227529801653304
0.157617810520874,-0.00518839359534225,0.246589358468097
0.17777013320523,-0.0202933603033714,0.263028093404869
0.19625922884472,-0.0341054435325252,0.278068885604546
0.213212416451748,-0.046732400819171,0.291827311061036
0.228748967117967,-0.0582733860298415,0.304409848065705
0.242980270330525,-0.0688195789278479,0.315914474645098
0.256010118658271,-0.0784547930567033,0.326431304597998
0.267935026556634,-0.0872560389501999,0.336043184875934
0.278844573418919,-0.095294046448549,0.344826253252268
0.288821761875861,-0.102633749307781,0.352850456825982
0.297943383634304,-0.109334734896878,0.360180032921109
0.306280386497441,-0.115451661479892,0.366873954487799
0.313898237482722,-0.121034645342176,0.372986342342565
0.320857278072301,-0.126129619817812,0.378566846607145
0.327213068590616,-0.130778668104842,0.383660999615651
0.333016719506587,-0.135020331609171,0.388310542412802
0.338315208116056,-0.138889895431576,0.392553726795705
0.343151679630656,-0.142419652515555,0.3964255947153
0.347565732041556,-0.145639147845661,0.399958236613812
0.351587389296559,-0.148572923006773,0.403175140708502
0.355262823764096,-0.151250746939296,0.406115250572991
0.358615972726766,-0.153692637344804,0.408797012289212
0.361674752404561,-0.155919229256933,0.411242908929385
0.364464719585169,-0.157949390786503,0.413473506691669
0.367009278069183,-0.159800326725424,0.415507611103056
0.369329814337302,-0.161487780778156,0.417362404023023
0.371445889568756,-0.163026118681929,0.419053586388976
0.373375383984141,-0.164428455818216,0.420595501266705
0.375134636757369,-0.165706764108857,0.42200124863862
0.376738575048327,-0.166871970078349,0.423282790887493
0.378200832868838,-0.167934044764812,0.424451049671698
0.379512502611398,-0.168893243403265,0.425496224676653
0.380728984733015,-0.169776080495912,0.426468183740147
